mm_policy,qa_function,explore_policy,save_agent_as_episodic,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest_strongest,avoid_walls,False,exclude_walls,6,0.9,444.38,16.78444517998733
random,latest_strongest,random,False,exclude_walls,6,0.7,444.16,19.037920054459722
random,latest_strongest,random,False,exclude_walls,6,0.5,442.88,14.509776014811534
random,random,avoid_walls,False,include_walls,6,0.99,442.34000000000003,12.793373284634521
random,latest_strongest,avoid_walls,False,exclude_walls,6,0.99,442.08000000000004,8.716742510823638
random,random,avoid_walls,False,include_walls,6,0.7,442.02,12.690531903746201
random,random,random,True,exclude_walls,6,0.5,441.9599999999999,12.988548802695412
random,latest_strongest,avoid_walls,False,include_walls,6,0.9,440.52,14.107785084838799
random,random,random,True,include_walls,6,0.5,440.14000000000004,14.007226706239896
random,random,random,False,exclude_walls,6,0.5,439.94000000000005,9.551041827989245
random,latest_strongest,random,False,False,6,0.7,439.9200000000001,21.761470538545876
random,random,avoid_walls,False,False,6,0.99,439.9,5.263078946776301
random,random,random,False,include_walls,6,0.5,439.8,7.2141527569077715
random,random,random,True,False,6,0.7,439.08000000000004,9.272410689782873
random,random,avoid_walls,False,exclude_walls,6,0.99,438.41999999999996,4.897917924996293
episodic,latest,random,True,False,6,1.0,438.32,13.185658876218517
semantic,strongest,random,False,exclude_walls,6,0.5,438.24000000000007,15.927661473047442
random,latest_strongest,random,False,include_walls,6,0.7,438.2,6.249479978366199
random,latest_strongest,random,True,include_walls,6,0.5,437.9,12.60428498567055
episodic,latest,random,False,False,6,1.0,437.64,13.091615637498672
random,latest_strongest,random,True,exclude_walls,6,0.5,437.03999999999996,11.825159618373027
random,latest_strongest,random,False,False,6,0.5,434.64,14.11674183372353
random,latest_strongest,random,True,include_walls,6,0.7,434.48,21.690403407959018
random,random,random,False,False,6,0.5,434.48,16.208565636724302
random,latest_strongest,random,True,exclude_walls,6,0.7,433.93999999999994,12.661058407573984
random,latest_strongest,random,True,False,6,0.5,433.56000000000006,15.166357506006499
random,random,avoid_walls,False,include_walls,6,0.9,432.05999999999995,7.223461773969609
random,latest_strongest,random,False,include_walls,6,0.5,431.98,15.837474546151606
random,latest_strongest,random,False,exclude_walls,6,0.99,431.9799999999999,16.362689265521112
random,latest_strongest,random,False,False,6,0.99,431.91999999999996,14.986180300530215
random,random,random,False,False,6,0.99,431.46000000000004,9.063023777967263
random,latest_strongest,random,True,exclude_walls,6,0.9,431.37999999999994,21.137587374154144
random,random,random,False,include_walls,6,0.7,430.68,12.997599778420618
random,latest_strongest,random,True,False,6,0.9,430.2,16.35872855695087
random,random,random,True,include_walls,6,0.7,429.62,17.0793910898486
semantic,strongest,random,False,include_walls,6,0.5,428.56000000000006,20.119105347902522
random,latest_strongest,random,False,include_walls,6,0.99,426.94000000000005,9.114515894988607
random,latest_strongest,random,False,exclude_walls,6,0.9,426.03999999999996,8.252417827521816
random,random,random,False,False,6,0.7,425.73999999999995,10.041633333278005
random,latest_strongest,random,True,include_walls,6,0.99,425.66,7.738371921793372
random,random,random,True,False,6,0.9,424.62,13.7967242488933
random,random,random,True,include_walls,6,0.9,424.14,19.678069010957362
random,latest_strongest,random,False,include_walls,6,0.9,422.6,18.765819992742117
random,random,random,False,include_walls,6,0.99,421.7200000000001,11.627794287826044
random,latest_strongest,random,True,exclude_walls,6,0.99,420.7,7.454662970248889
random,latest_strongest,random,True,False,6,0.99,419.8,18.6344841624339
random,random,random,False,include_walls,6,0.9,419.53999999999996,10.731374562468684
random,latest_strongest,random,True,include_walls,6,0.9,419.3,16.971387686338446
random,random,random,False,exclude_walls,6,0.99,418.78000000000003,11.803965435394998
random,random,random,False,exclude_walls,6,0.9,418.58000000000004,19.476796451162084
random,random,random,True,exclude_walls,6,0.9,417.71999999999997,15.436502194473997
random,random,random,True,False,6,0.99,416.8,9.34430307727655
random,latest_strongest,random,True,False,6,0.7,415.52,10.434059612634
random,random,random,True,exclude_walls,6,0.99,414.36,9.522520674695322
random,random,random,True,include_walls,6,0.99,408.28000000000003,12.264648384686785
semantic,strongest,random,False,False,6,0.7,405.6,31.71725082664006
semantic,strongest,random,False,exclude_walls,6,0.7,397.48,12.03052783546922
semantic,strongest,random,False,include_walls,6,0.7,384.88,18.28085337176577
semantic,strongest,avoid_walls,False,False,6,0.99,384.12,54.660384191844095
semantic,strongest,avoid_walls,False,exclude_walls,6,0.9,368.14,54.31871132492006
semantic,strongest,avoid_walls,False,False,6,0.9,357.52000000000004,21.341921188121734
semantic,strongest,avoid_walls,False,include_walls,6,0.9,327.14,44.40853971929274
semantic,strongest,random,False,False,6,0.9,303.74,39.572546038889136
random,strongest,random,True,exclude_walls,6,0.5,298.56,10.705437870540376
semantic,strongest,avoid_walls,False,exclude_walls,6,0.99,297.06000000000006,42.40587695119626
random,strongest,random,True,False,6,0.5,296.71999999999997,9.001422109866855
random,latest,random,False,False,6,0.9,295.82,4.727536356285373
random,strongest,random,True,include_walls,6,0.7,295.4,18.559741377508477
random,strongest,random,True,include_walls,6,0.5,291.43999999999994,9.01456599066199
random,latest,random,False,include_walls,6,0.7,290.84,6.3569174919924825
random,strongest,random,True,exclude_walls,6,0.7,289.04,11.78110351367816
random,strongest,random,False,include_walls,6,0.5,287.06,16.458019321898973
random,latest,random,False,exclude_walls,6,0.5,286.62,12.233462306313779
random,latest,random,False,exclude_walls,6,0.7,286.5,14.552662986546489
random,latest,random,False,False,6,0.5,286.47999999999996,12.073342536348417
random,strongest,random,False,exclude_walls,6,0.5,286.21999999999997,11.13110955835042
random,latest,random,False,False,6,0.7,286.1,13.65430335095864
semantic,strongest,random,False,False,6,0.99,286.1,20.80932483287239
random,strongest,random,False,exclude_walls,6,0.7,284.14000000000004,9.098043745773046
random,strongest,random,True,False,6,0.9,284.12,19.618093689245132
random,latest,random,False,exclude_walls,6,0.9,283.24,11.053071971176156
random,strongest,random,False,False,6,0.7,281.56,14.283500971400526
random,strongest,random,False,False,6,0.5,281.36,13.111613173061507
random,strongest,random,True,exclude_walls,6,0.9,281.02,11.606446484605003
random,strongest,avoid_walls,True,False,6,0.9,280.94,8.217931613246733
random,strongest,avoid_walls,True,False,6,0.7,280.36,10.58765318661317
random,strongest,random,True,include_walls,6,0.99,279.86,13.85245104665597
random,strongest,avoid_walls,True,False,6,0.99,279.41999999999996,16.442311273054035
random,strongest,avoid_walls,True,False,6,0.5,279.32,5.285981460429091
random,strongest,random,True,False,6,0.7,278.76,9.476412823426383
random,latest,random,False,include_walls,6,0.9,277.3,8.909994388325938
random,strongest,avoid_walls,True,exclude_walls,6,0.9,275.91999999999996,15.68380055981329
random,latest,random,False,False,6,0.99,275.88,8.547607852493012
random,latest,random,False,exclude_walls,6,0.99,275.26000000000005,10.52399163815706
random,strongest,random,False,False,6,0.9,275.05999999999995,14.562499785407724
random,latest,random,False,include_walls,6,0.5,274.23999999999995,9.785622105926628
